imagen,glioma,meningioma,pituitary,no_tumor
./tumores-cerebrales-mri-dataset/glioma/G_1.jpg,1,0,0,0
./tumores-cerebrales-mri-dataset/glioma/G_10.jpg,1,0,0,0
./tumores-cerebrales-mri-dataset/glioma/G_100.jpg,1,0,0,0
./tumores-cerebrales-mri-dataset/glioma/G_100_BR_.jpg,1,0,0,0
./tumores-cerebrales-mri-dataset/glioma/G_100_DA_.jpg,1,0,0,0
./tumores-cerebrales-mri-dataset/glioma/G_100_HF_.jpg,1,0,0,0
./tumores-cerebrales-mri-dataset/glioma/G_100_RO_.jpg,1,0,0,0
./tumores-cerebrales-mri-dataset/glioma/G_100_VF_.jpg,1,0,0,0
./tumores-cerebrales-mri-dataset/glioma/G_101.jpg,1,0,0,0
./tumores-cerebrales-mri-dataset/glioma/G_101_BR_.jpg,1,0,0,0
./tumores-cerebrales-mri-dataset/glioma/G_101_DA_.jpg,1,0,0,0
./tumores-cerebrales-mri-dataset/glioma/G_101_HF_.jpg,1,0,0,0
./tumores-cerebrales-mri-dataset/glioma/G_101_RO_.jpg,1,0,0,0
./tumores-cerebrales-mri-dataset/glioma/G_101_SP_.jpg,1,0,0,0
./tumores-cerebrales-mri-dataset/glioma/G_101_VF_.jpg,1,0,0,0
./tumores-cerebrales-mri-dataset/glioma/G_102.jpg,1,0,0,0
./tumores-cerebrales-mri-dataset/glioma/G_102_BR_.jpg,1,0,0,0
./tumores-cerebrales-mri-dataset/glioma/G_102_DA_.jpg,1,0,0,0
./tumores-cerebrales-mri-dataset/glioma/G_102_HF_.jpg,1,0,0,0
./tumores-cerebrales-mri-dataset/glioma/G_102_RO_.jpg,1,0,0,0
./tumores-cerebrales-mri-dataset/glioma/G_102_SP_.jpg,1,0,0,0
./tumores-cerebrales-mri-dataset/glioma/G_102_VF_.jpg,1,0,0,0
./tumores-cerebrales-mri-dataset/glioma/G_103.jpg,1,0,0,0
./tumores-cerebrales-mri-dataset/glioma/G_103_BR_.jpg,1,0,0,0
./tumores-cerebrales-mri-dataset/glioma/G_103_DA_.jpg,1,0,0,0
./tumores-cerebrales-mri-dataset/glioma/G_103_HF_.jpg,1,0,0,0
./tumores-cerebrales-mri-dataset/glioma/G_103_RO_.jpg,1,0,0,0
./tumores-cerebrales-mri-dataset/glioma/G_103_SP_.jpg,1,0,0,0
./tumores-cerebrales-mri-dataset/glioma/G_103_VF_.jpg,1,0,0,0
./tumores-cerebrales-mri-dataset/glioma/G_104.jpg,1,0,0,0
./tumores-cerebrales-mri-dataset/glioma/G_104_BR_.jpg,1,0,0,0
./tumores-cerebrales-mri-dataset/glioma/G_104_DA_.jpg,1,0,0,0
./tumores-cerebrales-mri-dataset/glioma/G_104_HF_.jpg,1,0,0,0
./tumores-cerebrales-mri-dataset/glioma/G_104_RO_.jpg,1,0,0,0
./tumores-cerebrales-mri-dataset/glioma/G_104_SP_.jpg,1,0,0,0
./tumores-cerebrales-mri-dataset/glioma/G_104_VF_.jpg,1,0,0,0
./tumores-cerebrales-mri-dataset/glioma/G_105.jpg,1,0,0,0
./tumores-cerebrales-mri-dataset/glioma/G_105_BR_.jpg,1,0,0,0
./tumores-cerebrales-mri-dataset/glioma/G_105_DA_.jpg,1,0,0,0
./tumores-cerebrales-mri-dataset/glioma/G_105_HF_.jpg,1,0,0,0
./tumores-cerebrales-mri-dataset/glioma/G_105_RO_.jpg,1,0,0,0
./tumores-cerebrales-mri-dataset/glioma/G_105_SP_.jpg,1,0,0,0
./tumores-cerebrales-mri-dataset/glioma/G_106_BR_.jpg,1,0,0,0
./tumores-cerebrales-mri-dataset/glioma/G_106_DA_.jpg,1,0,0,0
./tumores-cerebrales-mri-dataset/glioma/G_106_HF_.jpg,1,0,0,0
./tumores-cerebrales-mri-dataset/glioma/G_106_RO_.jpg,1,0,0,0
./tumores-cerebrales-mri-dataset/glioma/G_106_SP_.jpg,1,0,0,0
./tumores-cerebrales-mri-dataset/glioma/G_106_VF_.jpg,1,0,0,0
./tumores-cerebrales-mri-dataset/glioma/G_107.jpg,1,0,0,0
./tumores-cerebrales-mri-dataset/glioma/G_107_BR_.jpg,1,0,0,0
./tumores-cerebrales-mri-dataset/glioma/G_107_DA_.jpg,1,0,0,0
./tumores-cerebrales-mri-dataset/glioma/G_107_HF_.jpg,1,0,0,0
./tumores-cerebrales-mri-dataset/glioma/G_107_RO_.jpg,1,0,0,0
./tumores-cerebrales-mri-dataset/glioma/G_107_SP_.jpg,1,0,0,0
./tumores-cerebrales-mri-dataset/glioma/G_107_VF_.jpg,1,0,0,0
./tumores-cerebrales-mri-dataset/glioma/G_108.jpg,1,0,0,0
./tumores-cerebrales-mri-dataset/glioma/G_108_BR_.jpg,1,0,0,0
